;date;state;city;place_type;confirmed;deaths;is_last;estimated_population_2019;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;growth_rate;growth_accel;growth_accel_rate;growth_rate_NORM_(%);growth_accel_NORM_(%);growth_accel_rate_NORM_(%);LENTO;EXPONENCIAL;DESACELERACAO;ESTAVEL;LINEAR;CLASSIFICACAO
0;2020-06-08;AC;Acrelândia;city;166;2;True;15256.0;1200013;1088.0964900000001;0.012;3.1774324532513756;-0.020656470147721574;-0.012249750681216079;1.9141159356935997;-0.012443656715494925;-0.00737936788025065;0;0;1;0;0;DESACELERACAO
1;2020-06-08;AC;Assis Brasil;city;60;4;True;7417.0;1200054;808.95241;0.0667;2.1393296097089447;0.10295243329493098;-1.6766271083101044e-05;3.565549349514908;0.17158738882488495;-2.794378513850174e-05;0;1;0;0;0;EXPONENCIAL
2;2020-06-08;AC;Brasiléia;city;128;5;True;26278.0;1200104;487.09947;0.0391;5.479870976753367;0.375179931352291;0.03290056753191424;4.281149200588568;0.2931093213689773;0.025703568384308;0;1;0;0;0;EXPONENCIAL
3;2020-06-08;AC;Bujari;city;77;1;True;10266.0;1200138;750.0487;0.013000000000000001;2.021086264351654;0.08162846709133886;0.002493750537564066;2.6247873563008493;0.106010996222518;0.0032386370617715145;0;1;0;0;0;EXPONENCIAL
4;2020-06-08;AC;Capixaba;city;65;1;True;11733.0;1200179;553.9930099999999;0.0154;2.4006101142968554;0.07332671457157307;-0.0028965805171808356;3.69324632968747;0.11281033011011242;-0.004456277718739747;0;1;0;0;0;EXPONENCIAL
5;2020-06-08;AC;Cruzeiro do Sul;city;1383;20;True;88376.0;1200203;1564.9045;0.0145;40.76974845065912;2.435091534272284;0.2226504074420816;2.9479210738003703;0.17607314058367923;0.01609908947520474;0;1;0;0;0;EXPONENCIAL
6;2020-06-08;AC;Epitaciolândia;city;95;3;True;18411.0;1200252;515.99587;0.0316;3.2237026661751456;0.046699661367428744;-0.011090482157050306;3.393371227552785;0.04915753828150394;-0.01167419174426348;0;1;0;0;0;EXPONENCIAL
7;2020-06-08;AC;Feijó;city;43;1;True;34780.0;1200302;123.63427;0.0233;1.646502903642251;0.11049212401575871;0.006098321507735911;3.829076520098258;0.25695842794362495;0.014182143041246304;1;1;0;0;0;LENTO
8;2020-06-08;AC;Jordão;city;4;0;True;8317.0;1200328;48.09426;0.0;0.619333906347919;0.13368231792847762;0.026206254928879718;15.483347658697975;3.3420579482119406;0.6551563732219929;1;1;0;0;0;LENTO
9;2020-06-08;AC;Mâncio Lima;city;66;1;True;18977.0;1200336;347.78943;0.0152;2.331694802252018;0.1352407092609039;0.005526927085660628;3.5328709125030575;0.2049101655468241;0.008374131947970648;0;1;0;0;0;EXPONENCIAL
10;2020-06-08;AC;Manoel Urbano;city;20;0;True;9459.0;1200344;211.43884;0.0;1.9878632229175432;0.19383909854381673;0.004023169812263426;9.939316114587715;0.9691954927190837;0.02011584906131713;1;1;0;0;0;LENTO
11;2020-06-08;AC;Marechal Thaumaturgo;city;104;0;True;18867.0;1200351;551.22701;0.0;3.8653834172362496;0.02586122518114543;-0.016903404708178485;3.7167148242656247;0.0248665626741783;-0.016253273757863927;0;1;0;0;0;EXPONENCIAL
12;2020-06-08;AC;Plácido de Castro;city;209;5;True;19761.0;1200385;1057.63878;0.0239;4.137922649478175;0.027864902417277647;-0.0056208123774378034;1.9798672964010406;0.013332489194869688;-0.002689383912649667;0;1;0;0;0;EXPONENCIAL
13;2020-06-08;AC;Porto Acre;city;123;5;True;18504.0;1200807;664.72114;0.0407;3.0997018635610702;0.0980767828626;-0.004249062284823341;2.5200828159033093;0.07973722183951219;-0.0034545221827832037;0;1;0;0;0;EXPONENCIAL
14;2020-06-08;AC;Porto Walter;city;2;0;True;11982.0;1200393;16.6917;0.0;0.06480236053563014;-0.0068044728469523995;-0.00313524466647873;3.240118026781507;-0.34022364234762;-0.1567622333239365;1;0;1;0;0;LENTO
15;2020-06-08;AC;Rio Branco;city;4629;151;True;407319.0;1200401;1136.4557;0.0326;92.289706264233;0.8249656921269306;-0.22673286680302956;1.9937288024245627;0.017821682698788737;-0.004898096064010145;0;1;0;0;0;EXPONENCIAL
16;2020-06-08;AC;Rodrigues Alves;city;36;3;True;18930.0;1200427;190.17433;0.0833;1.4654592721918682;0.08257548982444454;0.0014852205077248695;4.070720200532967;0.22937636062345707;0.004125612521457971;1;1;0;0;0;LENTO
17;2020-06-08;AC;Santa Rosa do Purus;city;48;1;True;6540.0;1200435;733.94495;0.0208;2.0313975899589694;0.1332886208373474;0.005659934110516126;4.23207831241452;0.27768462674447375;0.011791529396908597;1;1;0;0;0;LENTO
18;2020-06-08;AC;Senador Guiomard;city;152;3;True;23024.0;1200450;660.1806799999999;0.0197;3.6979571893940046;0.03433476433892932;-0.008494499166159858;2.4328665719697398;0.022588660749295605;-0.005588486293526223;0;1;0;0;0;EXPONENCIAL
19;2020-06-08;AC;Sena Madureira;city;261;1;True;45848.0;1200500;569.27238;0.0038;8.1474708136475;0.0459391791809545;-0.03183484442199844;3.1216363270680074;0.01760121807699406;-0.012197258399233118;0;1;0;0;0;EXPONENCIAL
20;2020-06-08;AC;Tarauacá;city;372;3;True;42567.0;1200609;873.9164099999999;0.0081;12.266889669020555;0.35543925930100284;-0.014359556747136586;3.297550986295848;0.09554818798414055;-0.0038600958997678995;0;1;0;0;0;EXPONENCIAL
