;date;state;fips;cases;deaths;growth_rate;growth_accel;growth_accel_rate;growth_rate_NORM_(%);growth_accel_NORM_(%);growth_accel_rate_NORM_(%);LENTO;EXPONENCIAL;DESACELERACAO;ESTAVEL;LINEAR;CLASSIFICACAO
0;2020-06-07;Washington;53;25064;1163;269.72614396870677;2.2614628686831852;0.2897895280332399;1.076149632814821;0.00902275322647297;0.0011561982446267151;0;0;0;0;1;LINEAR
1;2020-06-07;Illinois;17;128070;5939;1609.608107919942;-12.399625482589757;-2.009170133633144;1.2568190114155868;-0.009681912612313388;-0.001568806225996052;0;0;0;0;1;LINEAR
2;2020-06-07;California;6;131997;4653;1939.9565877677169;29.70845627307337;0.4633412904814091;1.469697483857752;0.022506917788338653;0.0003510241069731957;0;1;0;0;0;EXPONENCIAL
3;2020-06-07;Arizona;4;26924;1048;469.3384822030674;16.561667869437553;1.2796414727455327;1.7431974528415815;0.06151265736680119;0.004752791088788935;0;1;0;0;0;EXPONENCIAL
4;2020-06-07;Massachusetts;25;103436;7316;1083.0047707975639;-13.485030172118565;-0.7560718918057514;1.047028859195603;-0.0130370762327609;-0.0007309562355521786;0;0;1;0;0;DESACELERACAO
5;2020-06-07;Wisconsin;55;20950;648;313.60147469834516;2.8460808903225643;-0.27967395141240564;1.496904413834583;0.01358511164831773;-0.0013349591952859458;0;1;0;0;0;EXPONENCIAL
6;2020-06-07;Texas;48;75948;1846;1105.0234738902175;14.304546009656073;0.18173223306314776;1.4549737634831956;0.018834657936556688;0.0002392850806645965;0;1;0;0;0;EXPONENCIAL
7;2020-06-07;Nebraska;31;15634;196;233.1906145469748;0.035620905761853394;-0.27214996107393596;1.491560794083247;0.00022784255956155426;-0.0017407570747981064;0;0;0;0;1;LINEAR
8;2020-06-07;Utah;49;12084;121;186.9595044983234;4.360271231681254;0.27094738567672716;1.5471657108434576;0.03608301250977536;0.0022421994842496454;0;1;0;0;0;EXPONENCIAL
9;2020-06-07;Oregon;41;4809;164;58.60004762563888;0.6402629543983566;0.10890469723879571;1.2185495451370114;0.013313848084806748;0.002264601730896147;0;1;0;0;0;EXPONENCIAL
10;2020-06-07;Florida;12;63930;2699;806.2777552468604;9.105154633491788;0.8467369225535599;1.2611884174047556;0.014242381719836989;0.001324475086115376;0;1;0;0;0;EXPONENCIAL
11;2020-06-07;New York;36;382879;30183;2845.6705448303333;-74.2059503226562;0.9057052714538744;0.7432297265795025;-0.019381044748512242;0.00023655130510001184;0;0;1;0;0;DESACELERACAO
12;2020-06-07;Rhode Island;44;15441;772;171.68638721677303;-3.197456439587398;-0.21186475579007125;1.111886453058565;-0.020707573600073814;-0.0013720921947417346;0;0;1;0;0;DESACELERACAO
13;2020-06-07;Georgia;13;49371;2148;609.1204985895904;0.27558852834825054;-0.08590189650823106;1.2337617196118986;0.0005581992026660399;-0.0001739926201783052;0;0;0;0;1;LINEAR
14;2020-06-07;New Hampshire;33;5043;286;66.18456637528283;-0.10078783062660544;-0.04884406864481681;1.3124046475368398;-0.001998568919821643;-0.0009685518271825662;0;0;0;0;1;LINEAR
15;2020-06-07;North Carolina;37;35663;1024;614.5389124879157;14.22178226543939;0.4757936115693304;1.7231834463951874;0.03987825551815436;0.0013341379344680212;0;1;0;0;0;EXPONENCIAL
16;2020-06-07;New Jersey;34;164164;12176;1434.0058401100912;-33.424849633443095;-0.2603943650130784;0.873520284660517;-0.020360645228821847;-0.0001586184334038391;0;0;1;0;0;DESACELERACAO
17;2020-06-07;Colorado;8;27987;1527;324.5030130490518;-2.4254357476176374;-0.1933891294191908;1.1594776612321858;-0.00866629416378189;-0.0006909962819137128;0;0;0;0;1;LINEAR
18;2020-06-07;Maryland;24;58593;2749;833.7062953150743;0.0061362197977860855;-0.7852324907006217;1.4228769568294408;1.0472615837704309e-05;-0.0013401472713474678;0;0;0;0;1;LINEAR
19;2020-06-07;Nevada;32;9673;438;121.68724447690008;0.9502054348550474;0.0993953921123315;1.2580093505313767;0.009823275455960378;0.0010275549685964179;0;0;0;0;1;LINEAR
20;2020-06-07;Tennessee;47;26811;414;386.2778555425785;4.198222152344954;0.07939043053166703;1.4407439317540505;0.015658581001622297;0.00029611141147912063;0;1;0;0;0;EXPONENCIAL
21;2020-06-07;Hawaii;15;663;17;3.883835894366533;-0.06260670490591906;0.01145494689988574;0.5857972691352237;-0.009442941916428214;0.0017277446304503376;0;0;0;1;0;ESTAVEL
22;2020-06-07;Indiana;18;38328;2303;488.23768903693576;-1.5378478544331742;-0.17832472035403932;1.2738407666377995;-0.0040123352495125605;-0.0004652596544407204;0;0;0;0;1;LINEAR
23;2020-06-07;Kentucky;21;11393;481;160.4784682460956;1.0731437844139289;0.02051594249488585;1.4085707736864355;0.009419325765065645;0.0001800749802061428;0;0;0;0;1;LINEAR
24;2020-06-07;Minnesota;27;27897;1197;470.0465090001472;2.5142894943760545;-0.5150347284275264;1.6849356884258064;0.00901275941633887;-0.0018462011271015751;0;0;0;0;1;LINEAR
25;2020-06-07;Oklahoma;40;7151;348;88.30297479477049;-0.025282510965369417;-0.009236944099997193;1.2348339364392462;-0.00035355210411647903;-0.0001291699636414095;0;0;0;0;1;LINEAR
26;2020-06-07;Pennsylvania;42;80001;5997;855.1214946566913;-11.165775218063386;-0.2730974644487707;1.068888507214524;-0.01395704455952224;-0.00034136756346642003;0;0;1;0;0;DESACELERACAO
27;2020-06-07;South Carolina;45;14286;546;215.4614588973677;4.638792574125384;0.2868303334456839;1.5082000482806084;0.03247089860090567;0.002007772178676214;0;1;0;0;0;EXPONENCIAL
28;2020-06-07;District of Columbia;11;9332;489;114.51629616490803;-1.0677100310301666;-0.0836596880114609;1.2271356211413205;-0.011441384816011214;-0.0008964818689612184;0;0;1;0;0;DESACELERACAO
29;2020-06-07;Kansas;20;10549;234;135.27187436074882;-1.6734857358414312;-0.14647319348360294;1.2823194081026525;-0.01586392772624354;-0.0013885031138838083;0;0;1;0;0;DESACELERACAO
30;2020-06-07;Missouri;29;14985;823;188.28421300361495;1.1486248128693737;0.1371269140616694;1.2564845712620285;0.00766516391637887;0.0009150945215993955;0;0;0;0;1;LINEAR
31;2020-06-07;Vermont;50;1063;55;8.231426495379273;0.03808562934806417;0.028859834897216635;0.7743580898757547;0.003582843776863986;0.0027149421352038227;0;0;0;1;0;ESTAVEL
32;2020-06-07;Virginia;51;50681;1472;801.7129418768917;7.026594965773138;-0.285834833545105;1.581880669041439;0.013864357383976516;-0.0005639881485075374;0;1;0;0;0;EXPONENCIAL
33;2020-06-07;Connecticut;9;43968;4071;449.388378255281;-8.13342793584392;-0.17258051923472612;1.0220805546199077;-0.018498516957432497;-0.0003925139174734491;0;0;1;0;0;DESACELERACAO
