,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,growth_rate,growth_accel,growth_accel_rate
122,2020-06-08,AL,Viçosa,city,41,1,True,25733.0,2709400,159.32849,0.0244,1.1138137322357846,0.043582810064944924,0.0022933306289720894
123,2020-06-08,AP,Amapá,city,128,3,True,9109.0,1600105,1405.20364,0.0234,3.8414064501652554,0.08920628197039268,-0.011967096193567518
124,2020-06-08,AP,Calçoene,city,183,1,True,11117.0,1600204,1646.12755,0.0055,6.541359186541319,0.31640645476796403,0.0036465329413681684
125,2020-06-08,AP,Cutias,city,182,2,True,5983.0,1600212,3041.9522,0.011000000000000001,5.88587075238717,0.07592170741263074,-0.01870573225219774
126,2020-06-08,AP,Ferreira Gomes,city,143,2,True,7780.0,1600238,1838.0462699999998,0.013999999999999999,4.552532952536876,0.0899792067452468,-0.012853679509656574
127,2020-06-08,AP,Itaubal,city,103,0,True,5503.0,1600253,1871.70634,0.0,3.235729989007271,0.13242682047499504,-0.003826804524864306
128,2020-06-08,AP,Laranjal do Jari,city,1917,36,True,50410.0,1600279,3802.8169,0.0188,49.29242377197985,0.8037356383003629,-0.14811226929177182
129,2020-06-08,AP,Macapá,city,5579,162,True,503327.0,1600303,1108.42454,0.028999999999999998,102.20640396005967,0.07838380288035564,-0.3359301705182364
130,2020-06-08,AP,Mazagão,city,413,5,True,21632.0,1600402,1909.20858,0.0121,10.951059021640216,0.2922047376341002,-0.019379436738365174
131,2020-06-08,AP,Oiapoque,city,562,6,True,27270.0,1600501,2060.87275,0.0107,14.638045052538956,0.47742058343112226,-0.03139697370201685
132,2020-06-08,AP,Pedra Branca do Amapari,city,1166,3,True,16502.0,1600154,7065.8102,0.0026,37.63534778705748,1.827492938428166,0.03635839399800246
133,2020-06-08,AP,Porto Grande,city,253,4,True,21971.0,1600535,1151.51791,0.0158,6.13040349626981,0.11657236107674628,-0.003931272410711679
134,2020-06-08,AP,Pracuúba,city,25,2,True,5120.0,1600550,488.28125,0.08,0.9094541871174828,0.04695053039110304,0.0016302433276827127
135,2020-06-08,AP,Santana,city,1719,33,True,121364.0,1600600,1416.40025,0.0192,41.23933041873144,1.711647248701372,0.12351230615696913
136,2020-06-08,AP,Serra do Navio,city,289,3,True,5397.0,1600055,5354.82676,0.0104,7.723993272929325,0.10377698652450162,-0.021122493426506527
137,2020-06-08,AP,Tartarugalzinho,city,171,1,True,17315.0,1600709,987.5830199999999,0.0058,5.411578787570251,0.22233223964592716,-0.006180479765518993
138,2020-06-08,AP,Vitória do Jari,city,212,9,True,15931.0,1600808,1330.73881,0.0425,5.325114182987612,0.1089855467624541,-0.008113879366963735
