;date;iso_code;continent;location;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cvd_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;growth_rate;growth_accel;growth_accel_rate;growth_rate_NORM_(%);growth_accel_NORM_(%);growth_accel_rate_NORM_(%);LENTO;EXPONENCIAL;DESACELERACAO;ESTAVEL;LINEAR;CLASSIFICACAO;index
155;2020-06-08;QAT;Asia;Qatar;68790.0;1595.0;54.0;3.0;23876.629;553.616;18.743;1.041;;;;;;;;;2881060.0;227.322;31.9;1.307;0.617;116935.6;;176.69;16.52;0.8;26.9;;1.2;1259.2096539519812;21.11604595722804;-0.6658510839102029;1.8305126529320848;0.030696388947852944;-0.0009679474980523374;0;1;0;0;0;EXPONENCIAL;
156;2020-06-08;ROU;Europe;Romania;20479.0;189.0;1326.0;8.0;1064.525;9.824;68.92699999999999;0.41600000000000004;;;;;;;;61.11;19237682.0;85.12899999999999;43.0;17.85;11.69;23313.199;5.7;370.94599999999997;9.74;22.9;37.1;;6.892;217.01222244942733;-1.7056773201261641;0.045771386498547714;1.0596817347010465;-0.008328909224699272;0.0002235040114192476;0;0;0;0;1;LINEAR;
157;2020-06-08;RUS;Europe;Russia;467673.0;8984.0;5859.0;134.0;3204.678;61.562;40.148;0.9179999999999999;;;;;;;;;145934460.0;8.823;39.6;14.177999999999999;9.392999999999999;24765.953999999998;0.1;431.29699999999997;6.18;23.4;58.3;;8.05;7466.404749610423;63.9288977947992;-3.3050670681069665;1.5965011342562907;0.013669572071682392;-0.0007067046992464749;0;1;0;0;0;EXPONENCIAL;
158;2020-06-08;RWA;Africa;Rwanda;439.0;8.0;2.0;0.0;33.894;0.618;0.154;0.0;;;;;;;;;12952209.0;494.869;20.3;2.9739999999999998;1.642;1854.211;56.0;191.375;4.28;4.7;21.0;4.617;;5.945745594910575;0.10487260761167858;0.00886892393775546;1.3543839623942084;0.023888976676919946;0.0020202560222677586;0;1;0;0;0;EXPONENCIAL;
159;2020-06-08;KNA;North America;Saint Kitts and Nevis;15.0;0.0;0.0;0.0;281.997;0.0;0.0;0.0;;;;;;;;;53192.0;212.865;;;;24654.385;;;12.84;;;;2.3;0.05904061032935686;-0.003071275625160536;0.00016959108960443053;0.39360406886237903;-0.02047517083440357;0.0011306072640295368;1;0;1;0;0;LENTO;
160;2020-06-08;LCA;North America;Saint Lucia;19.0;0.0;0.0;0.0;103.469;0.0;0.0;0.0;;;;;;;;;183629.0;293.187;34.9;9.721;6.405;12951.839;;204.62;11.62;;;87.20200000000001;1.3;0.10881232885192121;-0.0011585528878952228;0.0003025860693394842;0.5726964676416906;-0.006097646778395909;0.001592558259681496;1;0;0;1;0;LENTO;
161;2020-06-08;VCT;North America;Saint Vincent and the Grenadines;26.0;0.0;0.0;0.0;234.34599999999998;0.0;0.0;0.0;;;;;;;;;110947.0;281.78700000000003;31.8;7.724;4.832;10727.146;;252.675;11.62;;;;2.6;0.31785548507060396;-0.0015934616313012105;-0.0011470141202416491;1.2225210964253999;-0.0061286985819277336;-0.004411592770160189;1;0;0;0;1;LENTO;
162;2020-06-08;SMR;Europe;San Marino;695.0;0.0;42.0;0.0;20478.52;0.0;1237.5510000000002;0.0;;;;;;;;;33938.0;556.6669999999999;;;;56861.47;;;5.64;;;;3.8;4.762239738836979;-0.10988175406045103;0.003563498717129981;0.6852143509117955;-0.015810324325244752;0.000512733628364026;0;0;1;0;0;DESACELERACAO;
163;2020-06-08;STP;Africa;Sao Tome and Principe;514.0;1.0;12.0;0.0;2345.308;4.563;54.754;0.0;;;;;;;;;219161.0;212.84099999999998;18.7;2.886;2.162;3052.7140000000004;32.3;270.113;2.42;;;41.34;2.9;10.179724625344043;-0.02831885215441965;-0.03089518958430237;1.9804911722459229;-0.005509504310198375;-0.006010737273210578;0;0;0;0;1;LINEAR;
164;2020-06-08;SAU;Asia;Saudi Arabia;101914.0;3045.0;712.0;36.0;2927.397;87.465;20.452;1.034;;;;;;;;;34813867.0;15.322000000000001;31.9;3.295;1.845;49045.41099999999;;259.538;17.72;1.8;25.4;;2.7;1766.5607317078623;25.341023808850927;0.47066343787741066;1.73338376641861;0.024865105686020496;0.0004618241241413453;0;1;0;0;0;EXPONENCIAL;
165;2020-06-08;SEN;Africa;Senegal;4328.0;79.0;49.0;2.0;258.482;4.718;2.926;0.11900000000000001;;;;;;;;;16743930.0;82.32799999999999;18.7;3.008;1.796;2470.58;38.0;241.21900000000002;2.42;0.4;16.6;20.859;;74.19378483833168;0.9173936006794629;-0.015336098894537365;1.714274141366259;0.02119670981237206;-0.0003543460927573328;0;1;0;0;0;EXPONENCIAL;
166;2020-06-08;SRB;Europe;Serbia;11823.0;82.0;249.0;1.0;1737.5020000000002;12.050999999999998;36.593;0.147;;;;;;;;;6804596.0;80.291;41.2;17.366;;14048.881000000001;;439.415;10.08;37.7;40.2;97.719;5.609;104.67284198593423;-2.0876334335227384;0.1003602133470343;0.8853323351597245;-0.017657391808532;0.000848855733291333;0;0;1;0;0;DESACELERACAO;
167;2020-06-08;SYC;Africa;Seychelles;11.0;0.0;0.0;0.0;111.85700000000001;0.0;0.0;0.0;;;;;;;;;98340.0;208.354;36.2;8.606;5.586;26382.287;1.1;242.648;10.55;7.1;35.7;;3.6;0.028265875183454473;-0.001390244438488139;7.104956417256041e-05;0.25696250166776796;-0.012638585804437628;0.0006459051288414583;1;0;1;0;0;LENTO;
168;2020-06-08;SLE;Africa;Sierra Leone;969.0;23.0;48.0;0.0;121.47399999999999;2.883;6.017;0.0;;;;;;;;;7976985.0;104.7;19.1;2.5380000000000003;1.285;1390.3;52.2;325.721;2.42;8.8;41.3;19.275;;18.44242462659283;0.058115789449092174;-0.026874944314537963;1.903242995520416;0.005997501491134384;-0.002773472065483794;0;0;0;0;1;LINEAR;
169;2020-06-08;SGP;Asia;Singapore;37910.0;383.0;25.0;0.0;6479.9619999999995;65.46600000000001;4.273;0.0;;;;;;;;;5850343.0;7915.731;42.4;12.922;7.0489999999999995;85535.383;;92.243;10.99;5.2;28.3;;2.4;494.4587888398847;-1.5162788241023553;-0.35090515979035924;1.3042964622523996;-0.00399968035901439;-0.0009256269052766006;0;0;0;0;1;LINEAR;
170;2020-06-08;SXM;North America;Sint Maarten (Dutch part);77.0;0.0;15.0;0.0;1795.625;0.0;349.79699999999997;0.0;;;;;;;;;42882.0;1209.088;;;;36327.232;;;;;;;;0.41818210651791027;-0.021230232390432792;0.0009988575103289314;0.5430936448284549;-0.027571730377185445;0.0012972175458817292;0;0;1;0;0;DESACELERACAO;
171;2020-06-08;SVK;Europe;Slovakia;1528.0;0.0;28.0;0.0;279.872;0.0;5.129;0.0;;;;;;;;;5459643.0;113.12799999999999;41.2;15.07;9.167;30155.152000000002;0.7;287.959;7.29;23.1;37.7;;5.82;9.244873515193776;-0.3634050550117868;0.008697315671278764;0.6050309892142524;-0.023783053338467725;0.0005691960517852594;0;0;1;0;0;DESACELERACAO;
172;2020-06-08;SVN;Europe;Slovenia;1485.0;0.0;108.0;0.0;714.309;0.0;51.95;0.0;;;;;;;;;2078932.0;102.619;44.5;19.062;12.93;31400.84;;153.493;7.25;20.1;25.0;;4.5;6.501665806991568;-0.24604370597856076;0.011987279082949042;0.4378226132654255;-0.01656859972919601;0.0008072241806699692;0;0;1;0;0;DESACELERACAO;
173;2020-06-08;SOM;Africa;Somalia;2334.0;45.0;83.0;1.0;146.855;2.8310000000000004;5.222;0.063;;;;;;;;;15893219.0;23.5;16.8;2.7310000000000003;1.496;;;365.769;6.05;;;9.831;0.9;39.85058973832366;0.437641729025701;0.0005506848299044157;1.7073945903309196;0.018750716753457623;2.3594037270968966e-05;0;1;0;0;0;EXPONENCIAL;
174;2020-06-08;ZAF;Africa;South Africa;48285.0;2312.0;998.0;46.0;814.13;38.982;16.827;0.7759999999999999;;;;;;;;;59308690.0;46.754;27.3;5.343999999999999;3.053;12294.876;18.9;200.38;5.52;8.1;33.2;43.993;2.32;1046.9169255539148;40.45550743703629;1.7931918574002577;2.168203221609019;0.0837848347044347;0.003713765884643798;0;1;0;0;0;EXPONENCIAL;
175;2020-06-08;KOR;Asia;South Korea;11814.0;38.0;273.0;0.0;230.43099999999998;0.741;5.325;0.0;;;;;;;;;51269183.0;527.967;43.4;13.914000000000001;8.622;35938.373999999996;0.2;85.99799999999999;6.8;6.2;40.9;;12.27;42.84226002767925;-0.11634551962229704;0.04720352634500199;0.36263974968409723;-0.0009848105605408585;0.00039955583498393427;0;0;0;1;0;ESTAVEL;
176;2020-06-08;SSD;Africa;South Sudan;1317.0;0.0;14.0;0.0;117.655;0.0;1.251;0.0;;;;;;;;;11193729.0;;19.2;3.4410000000000003;2.032;1569.888;;280.775;10.43;;;;;32.18580523194173;0.749724802159267;-0.05917688384340697;2.443872834619721;0.056926712388706675;-0.004493309327517614;0;1;0;0;0;EXPONENCIAL;
177;2020-06-07;ESP;Europe;Spain;241550.0;240.0;27136.0;1.0;5166.316;5.132999999999999;580.39;0.021;;;;;;;;;46754783.0;93.105;45.5;19.436;13.799000000000001;34272.36;1.0;99.40299999999999;7.17;27.4;31.4;;2.97;1317.3102556791446;-39.46421550944723;0.6067514731888027;0.5453571747791945;-0.016337907476484052;0.00025119083965589016;0;0;1;0;0;DESACELERACAO;
178;2020-06-08;LKA;Asia;Sri Lanka;1835.0;21.0;11.0;0.0;85.695;0.981;0.514;0.0;;;;;;;;;21413250.0;341.955;34.1;10.068999999999999;5.331;11669.077;0.7;197.093;10.68;0.3;27.0;;3.6;28.64498275962289;0.28462834558401623;-0.05358409789679855;1.5610344828132365;0.015511081503216144;-0.002920114326801011;0;1;0;0;0;EXPONENCIAL;
179;2020-06-08;SDN;Africa;Sudan;6083.0;218.0;359.0;12.0;138.725;4.9719999999999995;8.187000000000001;0.27399999999999997;;;;;;;;;43849269.0;23.258000000000003;19.7;3.548;2.0340000000000003;4466.5070000000005;;431.38800000000003;15.67;;;23.436999999999998;0.8;123.69507709891299;2.285238093679699;-0.06639798536986505;2.0334551553331086;0.037567616203841844;-0.0010915335421644756;0;1;0;0;0;EXPONENCIAL;
180;2020-06-08;SUR;South America;Suriname;122.0;22.0;1.0;0.0;207.96599999999998;37.501999999999995;1.705;0.0;;;;;;;;;586634.0;3.612;29.6;6.933;4.229;13767.118999999999;;258.314;12.54;7.4;42.9;67.779;3.1;3.4818049433990343;0.2734706852339585;0.022852653563130317;2.85393847819593;0.22415629937209713;0.018731683248467475;0;1;0;0;0;EXPONENCIAL;
181;2020-06-08;SWZ;Africa;Swaziland;333.0;11.0;3.0;0.0;287.028;9.481;2.5860000000000003;0.0;;;;;;;;;1160164.0;79.492;21.5;3.1630000000000003;1.845;7738.975;;333.436;3.94;1.7;16.5;24.096999999999998;2.1;5.5088222345073765;0.06566598145172262;0.006209537403153371;1.6543009713235366;0.01971951394946625;0.0018647259468929042;0;1;0;0;0;EXPONENCIAL;
182;2020-06-08;SWE;Europe;Sweden;44730.0;843.0;4659.0;3.0;4429.032999999999;83.471;461.32;0.297;;;;;;;;;10099270.0;24.718000000000004;41.0;19.985;13.433;46949.282999999996;0.5;133.982;4.79;18.8;18.9;;2.22;606.4941126127316;10.58890705691637;0.6797185733327054;1.3559000952665583;0.02367294222427089;0.0015196033385484135;0;1;0;0;0;EXPONENCIAL;
183;2020-06-08;CHE;Europe;Switzerland;30882.0;9.0;1660.0;0.0;3568.268;1.04;191.805;0.0;;;;;;;;;8654618.0;214.243;43.1;18.436;12.644;57410.166;;99.73899999999999;5.59;22.6;28.9;;4.53;135.99757282732153;-5.387973783963161;0.18981368905007373;0.4403781258575271;-0.01744697164679477;0.0006146418271163581;0;0;1;0;0;DESACELERACAO;
184;2020-06-08;SYR;Asia;Syria;141.0;17.0;6.0;0.0;8.057;0.971;0.34299999999999997;0.0;;;;;;;;;17500657.0;;21.7;;2.577;;;376.264;;;;70.598;1.5;2.5576971749583644;0.05782956864046995;0.003021274164239064;1.8139696276300457;0.041013878468418405;0.002142747634212102;0;1;0;0;0;EXPONENCIAL;
185;2020-06-08;TWN;Asia;Taiwan;443.0;0.0;7.0;0.0;18.6;0.0;0.294;0.0;;;;;;;;;23816775.0;;42.2;;8.353;;;103.95700000000001;;;;;;1.5171184352176061;-0.061562505500804054;0.0019372708001155331;0.342464658062665;-0.013896728104018973;0.00043730717835565084;0;0;1;0;0;DESACELERACAO;
